Price,Year,Mileage,City,State,Make,Model
13695,2013,48699,1034.0,49.0,10.0,34.0
12190,2007,47975,1006.0,18.0,30.0,837.0
15979,2016,35148,2274.0,11.0,9.0,1688.0
18675,2014,78836,398.0,36.0,54.0,2449.0
12995,2015,29374,181.0,44.0,55.0,1330.0
6995,2009,134402,421.0,40.0,21.0,654.0
13900,2015,33504,1774.0,5.0,21.0,646.0
16995,2015,38593,1281.0,39.0,54.0,547.0
9000,2009,130215,1730.0,16.0,9.0,2683.0
59900,2009,26104,1234.0,49.0,41.0,1282.0
23443,2017,29200,1462.0,5.0,54.0,2122.0
17345,2013,87488,2082.0,54.0,15.0,1035.0
18888,2014,54526,1324.0,48.0,9.0,2684.0
21993,2011,125578,7.0,49.0,54.0,2425.0
10776,2015,12245,1427.0,40.0,12.0,126.0
16000,2014,47352,2237.0,24.0,54.0,1985.0
28995,2014,54840,1120.0,22.0,38.0,827.0
11500,2008,62182,1884.0,32.0,56.0,417.0
15995,2013,33820,569.0,6.0,55.0,1929.0
16500,2015,54724,2020.0,24.0,7.0,2168.0
12660,2013,50207,55.0,19.0,10.0,31.0
10999,2013,88895,1864.0,54.0,54.0,1724.0
46949,2016,14346,1034.0,49.0,30.0,2145.0
19600,2011,34576,1215.0,20.0,31.0,1644.0
16688,2012,92959,1204.0,11.0,21.0,1860.0
17999,2014,64404,1398.0,44.0,10.0,2670.0
13182,2015,10160,2208.0,44.0,22.0,866.0
45000,2016,18669,380.0,44.0,15.0,2549.0
4990,2004,164547,94.0,49.0,9.0,1011.0
31988,2016,22686,1034.0,49.0,54.0,316.0
51990,2013,50818,322.0,1.0,38.0,2256.0
34400,2017,18981,1856.0,45.0,15.0,1002.0
27000,2013,61689,387.0,46.0,26.0,2842.0
17792,2017,19333,831.0,11.0,54.0,548.0
10695,2010,98234,2199.0,28.0,54.0,547.0
20980,2016,1584,850.0,49.0,7.0,2795.0
16998,2016,36429,1336.0,35.0,26.0,702.0
5088,2005,120136,1417.0,3.0,21.0,254.0
28793,2015,22010,861.0,24.0,10.0,51.0
5995,2010,118734,2494.0,6.0,54.0,724.0
20494,2015,53535,879.0,32.0,27.0,2481.0
14700,2016,25388,2497.0,36.0,9.0,1688.0
38970,2017,7010,1469.0,18.0,41.0,1792.0
21000,2016,32930,1788.0,11.0,41.0,1204.0
44990,2014,45090,452.0,48.0,23.0,2076.0
20000,2016,13032,1201.0,38.0,26.0,2194.0
24395,2016,25882,389.0,51.0,41.0,2230.0
13989,2010,107356,18.0,40.0,54.0,1373.0
8288,2012,78040,94.0,49.0,15.0,1156.0
6953,2009,129533,1324.0,48.0,9.0,1415.0
12749,2015,41074,1201.0,38.0,9.0,774.0
